license,license_family,project_type,distribution_model,usage,risk,reason
EPL-2.0,Weak Copyleft,robotics control system,distributed,frontend component,Medium,File-level copyleft obligations create moderate compliance requirements
MIT,Permissive,banking middleware,hosted,plugin framework,Low,Low risk because the license allows proprietary integration
MIT,Permissive,AI inference platform,hosted,utility package,Low,License creates minimal compliance burden for commercial and hosted usage
Proprietary,Restricted,robotics control system,internal-only,workflow engine,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
GPL-3.0,Strong Copyleft,cloud CRM platform,hosted,data processing module,High,High risk because network or redistribution obligations may conflict with commercial use
Apache-2.0,Permissive,enterprise analytics platform,distributed,backend framework,Low,License creates minimal compliance burden for commercial and hosted usage
LGPL-3.0,Weak Copyleft,financial reporting system,internal-only,API service,Medium,Moderate risk because source obligations usually apply to modified covered files
AGPL-3.0,Strong Copyleft,AI inference platform,distributed,messaging framework,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
BSD-2-Clause,Permissive,healthcare portal,hosted,data processing module,Low,Public-domain style terms create minimal restriction for reuse
CDDL-1.0,Weak Copyleft,scientific computing toolkit,hosted,plugin framework,Medium,Weak copyleft license is not as restrictive as GPL but still requires tracking
GPL-3.0,Strong Copyleft,scientific computing toolkit,hosted,data processing module,High,High risk because network or redistribution obligations may conflict with commercial use
LGPL-3.0,Weak Copyleft,healthcare portal,distributed,model serving framework,Medium,Moderate risk because source obligations usually apply to modified covered files
Unlicense,Public Domain,embedded firmware,internal-only,API service,Low,Permissive license allows commercial use with attribution and notice obligations
Proprietary,Restricted,cybersecurity monitoring tool,internal-only,shared library,High,Custom or proprietary terms may restrict redistribution and commercial deployment
GPL-3.0,Strong Copyleft,cybersecurity monitoring tool,hosted,embedded library,High,Custom or proprietary terms may restrict redistribution and commercial deployment
EPL-2.0,Weak Copyleft,AI inference platform,distributed,frontend component,Medium,File-level copyleft obligations create moderate compliance requirements
Unknown,Unknown,industrial IoT platform,hosted,data processing module,High,High risk because network or redistribution obligations may conflict with commercial use
LGPL-2.1,Weak Copyleft,banking middleware,hosted,data processing module,Medium,Weak copyleft obligations require compliance review but are limited in scope
AGPL-3.0,Strong Copyleft,commercial ERP system,distributed,model serving framework,High,Restricted or unclear licensing terms require legal review before use
EPL-2.0,Weak Copyleft,enterprise workflow system,distributed,frontend component,Medium,File-level copyleft obligations create moderate compliance requirements
AGPL-3.0,Strong Copyleft,financial reporting system,distributed,backend framework,High,Unknown license creates unresolved legal and compliance uncertainty
Custom License,Unknown,healthcare portal,distributed,backend framework,High,Unknown license creates unresolved legal and compliance uncertainty
LGPL-2.1,Weak Copyleft,online education platform,internal-only,visualization library,Medium,Weak copyleft obligations require compliance review but are limited in scope
Proprietary,Restricted,online education platform,internal-only,API service,High,Restricted or unclear licensing terms require legal review before use
GPL-3.0,Strong Copyleft,embedded firmware,hosted,embedded library,High,Custom or proprietary terms may restrict redistribution and commercial deployment
Unknown,Unknown,banking middleware,hosted,core library,High,Restricted or unclear licensing terms require legal review before use
MIT,Permissive,AI inference platform,hosted,utility package,Low,License creates minimal compliance burden for commercial and hosted usage
MPL-2.0,Weak Copyleft,cybersecurity monitoring tool,hosted,utility package,Medium,LGPL-style usage may require relinking rights and license notice compliance
EPL-2.0,Weak Copyleft,enterprise workflow system,internal-only,shared library,Medium,File-level copyleft obligations create moderate compliance requirements
Custom License,Unknown,healthcare portal,distributed,backend framework,High,Unknown license creates unresolved legal and compliance uncertainty
Apache-2.0,Permissive,online education platform,distributed,messaging framework,Low,Low risk because the license allows proprietary integration
GPL-3.0,Strong Copyleft,internal enterprise tool,hosted,utility package,High,Unknown license creates unresolved legal and compliance uncertainty
EPL-2.0,Weak Copyleft,enterprise analytics platform,distributed,frontend component,Medium,File-level copyleft obligations create moderate compliance requirements
MIT,Permissive,commercial ERP system,hosted,plugin framework,Low,Low risk because the license allows proprietary integration
LGPL-2.1,Weak Copyleft,commercial ERP system,distributed,SDK integration,Medium,Weak copyleft obligations require compliance review but are limited in scope
Custom License,Unknown,enterprise analytics platform,distributed,messaging framework,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
GPL-2.0,Strong Copyleft,DevOps automation platform,internal-only,shared library,High,Custom or proprietary terms may restrict redistribution and commercial deployment
GPL-2.0,Strong Copyleft,industrial IoT platform,internal-only,visualization library,High,High risk because network or redistribution obligations may conflict with commercial use
BSD-3-Clause,Permissive,industrial IoT platform,internal-only,shared library,Low,Permissive terms support redistribution with copyright and license notice
MIT,Permissive,commercial closed-source software,hosted,embedded library,Low,Permissive terms support redistribution with copyright and license notice
GPL-3.0,Strong Copyleft,internal enterprise tool,hosted,utility package,High,Unknown license creates unresolved legal and compliance uncertainty
Unlicense,Public Domain,healthcare portal,internal-only,visualization library,Low,Public-domain style terms create minimal restriction for reuse
GPL-3.0,Strong Copyleft,robotics control system,hosted,plugin framework,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
Unknown,Unknown,AI inference platform,hosted,plugin framework,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
BSD-2-Clause,Permissive,mobile application,hosted,plugin framework,Low,Low risk because the license allows proprietary integration
LGPL-2.1,Weak Copyleft,banking middleware,distributed,SDK integration,Medium,Weak copyleft obligations require compliance review but are limited in scope
BSD-2-Clause,Permissive,embedded firmware,hosted,core library,Low,Permissive license allows commercial use with attribution and notice obligations
Custom License,Unknown,robotics control system,distributed,messaging framework,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
Custom License,Unknown,scientific computing toolkit,distributed,SDK integration,High,High risk because network or redistribution obligations may conflict with commercial use
Unlicense,Public Domain,embedded firmware,internal-only,API service,Low,Permissive license allows commercial use with attribution and notice obligations
GPL-3.0,Strong Copyleft,online education platform,hosted,core library,High,Restricted or unclear licensing terms require legal review before use
Apache-2.0,Permissive,internal enterprise tool,distributed,SDK integration,Low,Public-domain style terms create minimal restriction for reuse
LGPL-2.1,Weak Copyleft,mobile application,hosted,data processing module,Medium,Weak copyleft obligations require compliance review but are limited in scope
