package,version,ecosystem,package_manager,license,license_family,dependency_scope,direct_or_transitive,is_dev_dependency,project_type,distribution_model,usage,linking_type,network_exposed,commercial_use,attribution_notice,license_text,source_modified,redistribution,license_confidence,risk,reason
python-package-low-0,0.8.7,python,pip,Unlicense,Public Domain,build,direct,yes,enterprise analytics platform,internal-only,utility package,dynamic,no,yes,preserved,included,no,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-1,4.0.17,go,go-mod,Apache-2.0,Permissive,build,transitive,yes,financial reporting system,internal-only,SDK integration,dynamic,no,yes,preserved,included,possible,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-2,1.6.30,java,maven,BSD-3-Clause,Permissive,test,direct,yes,industrial IoT platform,hosted,API service,service,yes,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-3,4.3.29,rust,cargo,Unlicense,Public Domain,optional,direct,no,robotics control system,internal-only,plugin framework,dynamic,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-4,1.3.12,python,pip,BSD-3-Clause,Permissive,test,transitive,no,embedded firmware,distributed,API service,static,yes,yes,preserved,included,no,possible,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-5,4.20.5,python,pip,Unlicense,Public Domain,build,direct,no,industrial IoT platform,distributed,visualization library,static,yes,yes,preserved,included,no,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-6,2.12.8,python,pip,Apache-2.0,Permissive,runtime,direct,no,AI inference platform,internal-only,frontend component,unknown,yes,yes,preserved,included,no,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-7,1.17.17,node,npm,BSD-3-Clause,Permissive,test,transitive,no,robotics control system,hosted,shared library,unknown,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-8,5.13.19,node,npm,Apache-2.0,Permissive,runtime,transitive,no,financial reporting system,internal-only,SDK integration,dynamic,yes,yes,preserved,included,possible,no,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-9,2.20.10,go,go-mod,Unlicense,Public Domain,runtime,transitive,no,embedded firmware,distributed,core library,service,yes,yes,preserved,included,no,possible,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
java-package-low-10,5.16.19,java,maven,MIT,Permissive,build,direct,no,embedded firmware,internal-only,embedded library,dynamic,yes,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-11,2.9.7,python,pip,MIT,Permissive,runtime,direct,yes,enterprise analytics platform,internal-only,frontend component,dynamic,yes,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-12,4.5.8,rust,cargo,Unlicense,Public Domain,optional,direct,yes,healthcare portal,distributed,model serving framework,service,no,yes,preserved,included,possible,no,high,Low,Unlicense is low risk because obligations are satisfied and required notices or license text are preserved.
node-package-low-13,1.2.10,node,npm,MIT,Permissive,runtime,direct,yes,commercial SaaS platform,hosted,automation library,dynamic,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-14,4.7.8,python,pip,BSD-3-Clause,Permissive,optional,direct,yes,cybersecurity monitoring tool,hosted,embedded library,unknown,no,yes,preserved,included,no,no,high,Low,BSD-3-Clause is low risk because obligations are satisfied and required notices or license text are preserved.
rust-package-low-15,2.13.13,rust,cargo,MIT,Permissive,optional,direct,yes,commercial closed-source software,distributed,automation library,service,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
go-package-low-16,3.4.13,go,go-mod,Apache-2.0,Permissive,build,transitive,no,cloud CRM platform,hosted,frontend component,dynamic,no,yes,preserved,included,possible,possible,high,Low,Apache-2.0 is low risk because obligations are satisfied and required notices or license text are preserved.
python-package-low-17,1.5.13,python,pip,MIT,Permissive,optional,transitive,yes,industrial IoT platform,hosted,shared library,unknown,no,yes,preserved,included,no,no,high,Low,MIT is low risk because obligations are satisfied and required notices or license text are preserved.
